company_id,overall_score,rank
BEL,165.77731806996846,1
BAJAJHLDNG,153.5590386301229,2
INDIGO,139.10982797864872,3
HAL,133.87143624787308,4
BAJAJ-AUTO,115.84618045082897,5
LICI,102.48003860018996,6
TCS,100.66681868758671,7
INFY,97.94480495755381,8
NAUKRI,97.35371959290273,9
DIVISLAB,96.4651730555055,10
JIOFIN,95.74452227792156,11
ITC,95.07201662417923,12
LT,94.38649628023013,13
COALINDIA,93.05333416345862,14
POWERGRID,92.13822967908398,15
EICHERMOT,91.95067142014757,16
HCLTECH,91.89906420427675,17
HINDUNILVR,91.56329848981211,18
ONGC,91.39666946626927,19
NHPC,91.30436289291941,20
ICICIBANK,91.02527282492848,21
ADANIPORTS,90.74487567541262,22
IOC,90.46456731308335,23
BOSCHLTD,90.2392015132774,24
LTIM,90.17563061494393,25
NESTLEIND,90.08743499598648,26
IRCTC,90.08253883771711,27
SUNPHARMA,90.05595872709527,28
BRITANNIA,89.98526545057166,29
KOTAKBANK,89.78536570018981,30
BPCL,89.72296402062524,31
ABB,89.65943444000621,32
TECHM,89.48065243670537,33
ASIANPAINT,89.4714144813019,34
SIEMENS,89.46858062905659,35
DLF,89.44698858501647,36
HEROMOTOCO,89.43468856057885,37
NTPC,89.43299618107193,38
HINDALCO,89.40009283915435,39
MARUTI,89.31594779678021,40
DABUR,89.29314924851222,41
TATASTEEL,89.28438643627298,42
PIDILITIND,89.22279187981165,43
BHARTIARTL,89.15124212850948,44
ULTRACEMCO,89.13824097440192,45
CHOLAFIN,89.07332104524635,46
HDFCLIFE,89.04085954612138,47
DRREDDY,88.96352210818786,48
ICICIPRULI,88.91150494753383,49
PNB,88.90425255017452,50
CIPLA,88.85720740695022,51
CANBK,88.84058180279798,52
SBILIFE,88.83465116456789,53
GAIL,88.81022478085396,54
AMBUJACEM,88.80758025129018,55
TATAMOTORS,88.79589273309277,56
TORNTPHARM,88.73224971931712,57
GODREJCP,88.60713776783665,58
JSWSTEEL,88.56729216845906,59
UNIONBANK,88.52425524474118,60
SHREECEM,88.50485382665094,61
HAVELLS,88.50189835703189,62
JSWENERGY,88.45313563420517,63
INDUSINDBK,88.39049712732113,64
HDFCBANK,88.38974205879362,65
TATAPOWER,88.31278220668914,66
TITAN,88.29370535707437,67
LODHA,88.21946372819622,68
ADANIPOWER,88.1506036158003,69
DMART,88.09085642148098,70
MOTHERSON,87.98139315026587,71
JINDALSTEL,87.92275057382186,72
TATACONSUM,87.85617969864013,73
ADANIENSOL,87.80912999662468,74
BANKBARODA,87.66410053592593,75
APOLLOHOSP,87.59744006947766,76
TRENT,87.36874595540154,77
TVSMOTOR,87.35480293049618,78
BHEL,87.22356322302802,79
GRASIM,86.94940588711563,80
ADANIENT,86.4901071525252,81
M&M,85.9648227069609,82
SHRIRAMFIN,85.82957841184613,83
AXISBANK,85.51503859898628,84
BAJFINANCE,85.47613773987116,85
ADANIGREEN,85.2589921758645,86
RELIANCE,84.52494124645666,87
ICICIGI,83.22339739638726,88
RECLTD,81.87745189086466,89
BAJAJFINSV,81.60024598466275,90
IRFC,77.94935115182938,91
PFC,76.86923976588538,92
